satnum,satname,vmag,delta,flux,JD0,JD1,camid,type,version,annulus,launch,sun_alt,sun_az,inc,alt,az,range,ra,dec,height,phase_angle,vmag_norm_550,vmag_norm_1000
51769U,STARLINK-3621,5.657598230555644,0.08421217273972106,38172.646035520745,2459876.842082574,2459876.842156452,LSC,standard,1.5,10835,2022-02-25,-21.922220182387914,118.54030898863313,53.2176,67.89957025782246,190.55354343708964,586.7798715065254,5.248217181271805,-50.87720358528565,549.5677046629102,103.77745003415798,5.517035639590354,6.815222192119134
51769U,STARLINK-3621,5.02865930779844,0.03774086310127029,68669.27054255125,2459876.842156452,2459876.842230329,LSC,standard,1.5,20369,2022-02-25,-21.901817346836687,118.52287331310373,53.2176,71.4765864697632,182.99539472018594,574.4217340218195,5.572502454523599,-47.76404341729886,549.4459867351168,103.10204223953205,4.934318436953807,6.232504989482587
51769U,STARLINK-3621,5.01104854360252,0.03314739255026426,69019.95358909735,2459876.842230329,2459876.842304207,LSC,standard,1.5,20621,2022-02-25,-21.88141152984635,118.50544504511295,53.2176,74.72208116105129,171.76168161365953,565.3261151625288,5.869388644552792,-44.35072089743262,549.3242858187663,102.31356609866327,4.951366750585345,6.2495533031141255
51769U,STARLINK-3621,5.6036283700548974,0.053995802142783794,42229.79964776053,2459876.842304207,2459876.842378084,LSC,standard,1.5,11045,2022-02-25,-21.86100196293861,118.48802351925524,53.2176,77.18762991567715,155.12245726673606,559.6524424511629,6.139636147068703,-40.69569973626487,549.2026151064498,101.41778421634459,5.565849800221018,6.864036352749799
51769U,STARLINK-3621,4.794587458585433,0.030753038690650124,85865.3759484393,2459876.842378084,2459876.842451961,LSC,standard,1.5,20831,2022-02-25,-21.840589292546056,118.47060927835592,53.2176,78.22601832089863,133.1057638972478,557.505939457137,6.384819254019542,-36.86598062777416,549.0809961960392,100.42670885051893,4.765153413287771,6.063339965816551
51769U,STARLINK-3621,5.260038112749676,0.048625005126324325,50363.15194568557,2459876.842451961,2459876.842525838,LSC,standard,1.5,14195,2022-02-25,-21.820173393343616,118.45320220616597,53.2176,77.42573493620574,110.62661582466824,558.9274918764565,6.606974154335167,-32.93247523274892,548.9594460471675,99.35790048130185,5.225074201651098,6.523260754179879
51769U,STARLINK-3621,5.016637033358,0.028647660677089452,65891.07704321598,2459876.842525838,2459876.842599716,LSC,standard,1.5,20957,2022-02-25,-21.79975401120214,118.43580207696704,53.2176,75.10938749353717,93.15565057397458,563.8903307601718,6.808310004878819,-28.96541884268521,548.8379808168638,98.23298550511835,4.962477242623265,6.2606637951520465
51769U,STARLINK-3621,5.025875449016425,0.028462983556066693,64899.032073193266,2459876.842599716,2459876.842673593,LSC,standard,1.5,20999,2022-02-25,-21.779331020563173,118.41840877501605,53.2176,71.92932536434103,81.27566306964098,572.3025020842264,6.99102384185276,-25.029926427189153,548.7166173902218,97.0755657632762,4.939560673332232,6.237747225861013
51769U,STARLINK-3621,5.796111662550253,0.04523302750662865,31865.723620010056,2459876.842673593,2459876.842747471,LSC,standard,1.5,12515,2022-02-25,-21.758904939572016,118.40102273256144,53.2176,68.36727845746172,73.30724975050879,584.0146456161806,7.157189685267153,-21.18245058908529,548.5953764304905,95.90899964286703,5.665806418718568,6.963992971247349
51797U,STARLINK-3627,5.044921991453222,0.03627954230606552,66027.77383610801,2459876.517046556,2459876.517120434,LSC,standard,1.5,21503,2022-02-25,-18.647533111551883,244.29362728741293,53.2149,74.38407409740336,147.24920832168212,567.1708527822827,22.583393015589145,-42.04508421949931,550.2913967808606,109.8265136202114,4.978165918326849,6.276352470855629
51797U,STARLINK-3627,5.152188283744188,0.04044221197931159,58481.4319783574,2459876.517120434,2459876.517194311,LSC,standard,1.5,20369,2022-02-25,-18.66842487730597,244.2772066286361,53.2149,69.96269711779841,145.32988395560466,580.3035666594753,22.896400995735114,-44.948951940489735,550.4074081967374,110.55797883715483,5.035725532056646,6.333912084585427
51797U,STARLINK-3627,5.338406703659508,0.04401306736541212,51334.180907889226,2459876.517194311,2459876.517268188,LSC,standard,1.5,19193,2022-02-25,-18.689313488628958,244.26078006159193,53.2149,65.73723980806959,144.12939907090308,596.4951682745746,23.22441544679315,-47.52037903893966,550.523390516937,111.13478147774366,5.162185500371255,6.460372052900035
51802U,STARLINK-3557,6.126970127889425,0.04660235695132451,26573.558337715596,2459876.517415931,2459876.517489809,LSC,standard,1.5,9659,2022-02-25,-18.751958658345067,244.21146620306757,53.2154,64.73771686856361,307.7686776239137,599.3837021771199,20.49422171015665,-12.428988190284038,549.1597104276768,96.35515412243632,5.94025892594592,7.2384454784747
51802U,STARLINK-3557,4.956505464938173,0.03125076111852966,74427.51606615038,2459876.517563686,2459876.517637563,LSC,standard,1.5,19571,2022-02-25,-18.793709924099232,244.1785577853409,53.2154,73.10311925588049,301.45019669309283,569.6342786033363,20.826596802515617,-19.67590719678058,549.392111220719,99.17265084957477,4.880338333700582,6.178524886229363
51802U,STARLINK-3557,4.822670282656857,0.036649531159430516,79173.84173124134,2459876.517637563,2459876.517711441,LSC,standard,1.5,21083,2022-02-25,-18.81458113078919,244.16209440622785,53.2154,77.40437992172055,294.83968022526557,559.5303161671942,21.015191537067185,-23.48170258247958,549.5084796543797,100.59498427193742,4.7853656190820315,6.083552171610812
51802U,STARLINK-3557,5.370347094474901,0.04985807703285487,50888.73501685823,2459876.517711441,2459876.517785318,LSC,standard,1.5,11087,2022-02-25,-18.83544968986519,244.14562466365686,53.2154,81.49126660589545,281.37949840970754,552.8579751844358,21.220741194884237,-27.34314816881055,549.6249388118732,101.98942335759966,5.3590926477702014,6.657279200298982
51802U,STARLINK-3557,4.738782995360626,0.033939928198785045,88404.07284244298,2459876.517785318,2459876.517859195,LSC,standard,1.5,20873,2022-02-25,-18.856315072359966,244.12914896706226,53.2154,84.45317268975624,249.09202672725732,549.7424596991121,21.444723677480997,-31.19764749594715,549.741468436012,103.32560320417387,4.739800036510593,6.037986589039374
51802U,STARLINK-3557,4.913930980205478,0.0384416359355825,74921.116919485,2459876.517859195,2459876.517933073,LSC,standard,1.5,20789,2022-02-25,-18.87717740705586,244.11266720695994,53.2154,84.02102679737354,199.430571641886,550.2439709971015,21.688469954792513,-34.97617503111905,549.8580518938124,104.5743932054703,4.912967964162535,6.211154516691315
51802U,STARLINK-3557,5.292656485248322,0.053712890369081695,52580.57304231726,2459876.517933073,2459876.51800695,LSC,standard,1.5,16547,2022-02-25,-18.898037217086614,244.09617896186185,53.2154,80.6707737808918,172.63300035045546,554.3525134396077,21.95299991180985,-38.60795880889298,549.9746747181673,105.71082727202905,5.275539827897226,6.573726380426006
